product_id,total_orders,total_revenue,avg_price,demand_score,category
00066f42aeeb9f3007548bb9d3f33c38,1,120.24,101.65,120.24,Low Demand
00088930e925c41fd95ebfe695fd2655,1,143.83,129.9,143.83,Low Demand
0009406fd7479715e4bef61dd91f2462,1,242.1,229.0,242.1,Low Demand
000b8f95fcb9e0096488278317764d19,2,157.0,58.9,314.0,Low Demand
000d9be29b5207b54e86aa1b1ac54872,1,218.27,199.0,218.27,Low Demand
0011c512eb256aa0dbbb544d8dffcf6e,1,166.4,52.0,166.4,Low Demand
00126f27c813603687e6ce486d909d01,2,527.73,249.0,1055.46,Medium Demand
001795ec6f1b187d37335e1c4704762e,9,662.7,38.9,5964.3,Medium Demand
001b237c0e9bb435f2e54071129237e9,1,100.09,78.9,100.09,Low Demand
001b72dfd63e9833e8c02742adf472e3,14,888.75,34.99,12442.5,High Demand
001c5d71ac6ad696d22315953758fa04,1,100.64,79.9,100.64,Low Demand
00210e41887c2a8ef9f791ebc780cc36,8,499.78,33.485,3998.24,Medium Demand
002159fe700ed3521f46cfcf6e941c76,8,1850.61,202.325,14804.88,High Demand
0021a87d4997a48b6cef1665602be0f5,2,37.72,29.0,75.44,Low Demand
00250175f79f584c14ab5cecd80553cd,11,2723.56,75.44454545454545,29959.16,High Demand
002552c0663708129c0019cc97552d7d,1,122.1,108.0,122.1,Low Demand
002959d7a0b0990fe2d69988affcbc80,2,455.84,129.9,911.68,Medium Demand
002af88741ba70c7b5cf4e4a0ad7ef85,6,1983.96,39.0,11903.76,High Demand
002c6dab60557c48cfd6c2222ef7fd76,2,92.9,79.9,185.8,Low Demand
002d4ea7c04739c130bb74d7e7cd1694,1,65.06,43.0,65.06,Low Demand
002ec297b1b00fb9dde7ee6ac24b6771,1,23.39,16.0,23.39,Low Demand
0030026a6ddb3b2d1d4bc225b4b4c4da,1,49.24,39.9,49.24,Low Demand
0030e635639c898b323826589761cf23,2,342.72,153.0,685.44,Medium Demand
003128f981470c3e5a2e7445e4a771cd,2,223.4,99.98,446.8,Low Demand
0036bb031e69d915cd384d1b3838b5d3,1,46.95,35.99,46.95,Low Demand
003938452c98ff9ab28e9e7b4bfe97ab,1,201.77,179.9,201.77,Low Demand
003962cb74a8b43cf1034fed541a76f0,1,114.8,94.9,114.8,Low Demand
003a31970fea14fffe92ac856b8a9b97,3,2246.67,222.0,6740.01,High Demand
003c0b8f6580c850bd2e32044d2ac307,2,1968.4,449.0,3936.8,Medium Demand
003dbcabcf8e3231de657c7d9f9a5eba,4,107.2,36.0,428.8,Low Demand
004154251837f6ac124ad4374b3a8148,1,27.38,14.9,27.38,Low Demand
0042f1a9a7e0edd1400c6cd0fda065f8,1,82.91,39.9,82.91,Low Demand
0043c62d00db47eff6a6bc4cf6bfaeda,1,548.13,527.99,548.13,Medium Demand
0043d1a25ef08fb6f41b8fa6f91742ab,1,406.48,390.0,406.48,Low Demand
0044d70d4e53450c0fbb8255446a797b,1,46.14,19.25,46.14,Low Demand
004552d98c5d3653af8b4dbe8def0048,1,368.11,349.9,368.11,Low Demand
004636c889c7c3dad6631f136b7fa082,4,380.12,49.0,1520.48,Medium Demand
004ffcbfa5aac82212a95bc972ea8a85,1,263.66,229.0,263.66,Low Demand
005030ef108f58b46b78116f754d8d38,13,440.65,14.75923076923077,5728.45,Medium Demand
005c6b24cc96dca3e2c01e824401030e,1,58.6,43.5,58.6,Low Demand
0060b415594c5e1200324ef1a18493c4,1,267.27,69.99,267.27,Low Demand
00636f9286f69c9f1bdabe76e670fb50,2,81.28,27.9,162.56,Low Demand
006508eabcc19ae52ed87323124ad0e9,1,79.23,34.89,79.23,Low Demand
006619bbed68b000c8ba3f8725d5409e,1,86.86,68.5,86.86,Low Demand
0067f97995b0c3a86739734dc87ee6b6,1,93.31,79.0,93.31,Low Demand
006baa9a5b8f95895f15273a35bc2664,3,355.33000000000004,99.90000000000002,1065.9900000000002,Medium Demand
006c67546bfe73c33b83f6bd1ad58c36,1,80.74,59.9,80.74,Low Demand
00716e5593e8eea55dbe7a29b72a70bc,1,50.71,37.0,50.71,Low Demand
00738f5a17ec4450e88915357b085c1e,1,34.86,23.9,34.86,Low Demand
0075c14603d80515e20908c156ceb47b,2,136.26,49.9,272.52,Low Demand
007c63ae4b346920756b5adcad8095de,6,653.13,77.325,3918.7799999999997,Medium Demand
0081787b18cce4acc2d1adec4520d7ba,1,548.42,521.9,548.42,Medium Demand
0082684bb4a60a862baaf7a60a5845ed,1,55.0,39.9,55.0,Low Demand
0085dddda27567189f1dfd1eda7c286e,1,198.31,179.8,198.31,Low Demand
008686d56f4c85b987a4c24a286834c1,1,231.32,207.0,231.32,Low Demand
00878d953636afec00d3e85d55a12e7f,11,1341.31,100.0,14754.41,High Demand
008b0ec3de3638637099f97add750136,1,88.95,69.49,88.95,Low Demand
008b51e6be49ee039854b5e35c331b02,1,323.52,270.9,323.52,Low Demand
008cff0e5792219fae03e570f980b330,22,4417.29,138.85818181818183,97180.38,High Demand
00905d58c87afcbce21420b3712cacaa,7,885.54,159.9,6198.78,Medium Demand
00917855135d67fb060dcd81863166a4,3,172.78,39.9,518.34,Medium Demand
0091d85023824de2d33252310c952307,2,343.86,149.33,687.72,Medium Demand
00929aaa7751a77220db9caa1ae6d3ab,1,49.74,29.9,49.74,Low Demand
0092a9e1c8a471753ed7ffa7eef5086e,5,190.5,44.9,952.5,Medium Demand
00989337a1916a0055eedd1fdb35eb53,2,71.64,18.75,143.28,Low Demand
009af1277432f1a05742df69cdf72d1e,7,504.18,57.785714285714285,3529.26,Medium Demand
009c09f439988bc06a93d6b8186dce73,1,146.45,132.4,146.45,Low Demand
009df2b0bc078648fc4f5898de8cabff,1,1052.36,949.9,1052.36,Medium Demand
00a0db09dc7c94d512ec51900141ed69,1,65.09,49.99,65.09,Low Demand
00a8c742ae1da97e9064205459977e6c,1,29.09,14.99,29.09,Low Demand
00a985c524adbb97a4211e4ce17aabec,1,37.83,24.99,37.83,Low Demand
00aa70fd749f3b9ce8ca4bc914a9e7b1,2,111.12,8.73,222.24,Low Demand
00ab8a8b9fe219511dc3f178c6d79698,10,1304.86,90.99,13048.599999999999,High Demand
00ae7076313576f94d9107599d79a978,3,526.53,89.90000000000002,1579.59,Medium Demand
00b264091d1c8df03976c3f3b176b35c,1,148.01,129.01,148.01,Low Demand
00b4155166f994ba9da3cf001eb80505,1,117.46,94.0,117.46,Low Demand
00b782074a5ec523bf31951b4935d572,1,81.21,66.0,81.21,Low Demand
00ba6d766f0b1d7b78a5ce3e1e033263,16,2500.74,46.11875,40011.84,High Demand
00baba5b58e274d0332a0c8a0a66f877,13,759.47,47.89999999999999,9873.11,High Demand
00bb62ea3729537a687c3fddcd123662,4,1277.16,268.88,5108.64,Medium Demand
00bc6e6d4ceb98ec7ed058b0a243a8b9,1,31.66,16.56,31.66,Low Demand
